product_code,1234,y,z
pt,17.8903,452.464,0
pt,17.9412,451.615,0
pt,17.9919,450.766,0
pt,18.0422,449.917,0
pt,18.0924,449.068,0
pt,18.1423,448.219,0
pt,18.1919,447.37,0
pt,18.2413,446.521,0
pt,18.2905,445.672,0
pt,18.3394,444.823,0
pt,18.3881,443.974,0
pt,18.4366,443.125,0
pt,18.4848,442.276,0
pt,18.5328,441.427,0
pt,18.5806,440.578,0
pt,18.6282,439.729,0
pt,18.6755,438.88,0
pt,18.7227,438.03,0
pt,18.7696,437.181,0
pt,18.8163,436.332,0
pt,18.8628,435.483,0
pt,18.9092,434.634,0
pt,18.9553,433.784,0
pt,19.0012,432.935,0
pt,19.0469,432.086,0
pt,19.0924,431.237,0
pt,19.1377,430.388,0
pt,19.1828,429.538,0
pt,19.2278,428.689,0
pt,19.2725,427.84,0
pt,19.3171,426.99,0
pt,19.3615,426.141,0
pt,19.4057,425.292,0
pt,19.4498,424.442,0
pt,19.4937,423.593,0
pt,19.5374,422.744,0
pt,19.5809,421.894,0
pt,19.6243,421.045,0
pt,19.6675,420.196,0
pt,19.7105,419.346,0
pt,19.7534,418.497,0
pt,19.7962,417.648,0
pt,19.8388,416.798,0
pt,19.8812,415.949,0
pt,19.9235,415.099,0
pt,19.9657,414.25,0
pt,20.0077,413.4,0
pt,20.0496,412.551,0
pt,20.0913,411.702,0
pt,20.1329,410.852,0
pt,20.1744,410.003,0
pt,20.2157,409.153,0
pt,20.2569,408.304,0
pt,20.298,407.454,0
pt,20.339,406.605,0
pt,20.3798,405.755,0
pt,20.4206,404.906,0
pt,20.4586,404.111,0
pt,20.4965,403.316,0
pt,20.5343,402.521,0
pt,20.572,401.726,0
pt,20.6096,400.931,0
pt,20.6471,400.136,0
pt,20.6845,399.341,0
pt,20.7218,398.546,0
pt,20.759,397.751,0
pt,20.7961,396.956,0
pt,20.8331,396.161,0
pt,20.8699,395.366,0
pt,20.9067,394.571,0
pt,20.9433,393.776,0
pt,20.9799,392.981,0
pt,21.0163,392.186,0
pt,21.0526,391.391,0
pt,21.0888,390.596,0
pt,21.1249,389.801,0
pt,21.1608,389.006,0
pt,21.1967,388.211,0
pt,21.2324,387.416,0
pt,21.268,386.621,0
pt,21.3035,385.826,0
pt,21.3388,385.031,0
pt,21.3741,384.236,0
pt,21.4092,383.441,0
pt,21.4442,382.646,0
pt,21.4791,381.851,0
pt,21.5138,381.055,0
pt,21.5484,380.26,0
pt,21.5829,379.465,0
pt,21.6173,378.67,0
pt,21.6515,377.875,0
pt,21.6856,377.08,0
pt,21.7196,376.285,0
pt,21.7535,375.49,0
pt,21.7872,374.695,0
pt,21.8208,373.899,0
pt,21.8542,373.104,0
pt,21.8875,372.309,0
pt,21.9207,371.514,0
pt,21.9537,370.719,0
pt,21.9866,369.924,0
pt,22.0194,369.129,0
pt,22.052,368.333,0
pt,22.0845,367.538,0
pt,22.1169,366.743,0
pt,22.1491,365.948,0
pt,22.1811,365.153,0
pt,22.213,364.357,0
pt,22.2448,363.562,0
pt,22.2764,362.767,0
pt,22.3079,361.972,0
pt,22.3393,361.177,0
pt,22.3704,360.381,0
pt,22.4015,359.586,0
pt,22.4324,358.791,0
pt,22.4631,357.996,0
pt,22.4937,357.2,0
pt,22.5241,356.405,0
pt,22.5544,355.61,0
pt,22.5845,354.815,0
pt,22.6145,354.019,0
pt,22.6463,353.169,0
pt,22.678,352.32,0
pt,22.7095,351.47,0
pt,22.7408,350.62,0
pt,22.772,349.77,0
pt,22.8029,348.92,0
pt,22.8337,348.07,0
pt,22.8643,347.22,0
pt,22.8947,346.37,0
pt,22.925,345.52,0
pt,22.955,344.67,0
pt,22.9849,343.82,0
pt,23.0146,342.97,0
pt,23.0441,342.12,0
pt,23.0735,341.27,0
pt,23.1026,340.42,0
pt,23.1316,339.57,0
pt,23.1604,338.72,0
pt,23.189,337.87,0
pt,23.2174,337.02,0
pt,23.2457,336.169,0
pt,23.2737,335.319,0
pt,23.3016,334.469,0
pt,23.3293,333.619,0
pt,23.3568,332.769,0
pt,23.3841,331.919,0
pt,23.4112,331.069,0
pt,23.4382,330.219,0
pt,23.465,329.369,0
pt,23.4915,328.519,0
pt,23.5179,327.669,0
pt,23.5441,326.818,0
pt,23.5702,325.968,0
pt,23.596,325.118,0
pt,23.6217,324.268,0
pt,23.6471,323.418,0
pt,23.6724,322.568,0
pt,23.6975,321.718,0
pt,23.7224,320.867,0
pt,23.7471,320.017,0
pt,23.7716,319.167,0
pt,23.796,318.317,0
pt,23.8201,317.467,0
pt,23.8441,316.616,0
pt,23.8679,315.766,0
pt,23.8914,314.916,0
pt,23.9148,314.066,0
pt,23.938,313.216,0
pt,23.9611,312.365,0
pt,23.9839,311.515,0
pt,24.0065,310.665,0
pt,24.029,309.815,0
pt,24.0512,308.964,0
pt,24.0733,308.114,0
